Sentences,Candidates
"He was the consummate television newsman, ”Don Hewitt, a longtime CBS News executive and creator of the long - running ”60 Minutes” news program, told Reuters","Don Hewitt, executive"
"Hewitt was already a highly respected TV newsman","Hewitt, was, A Highly Respected Tv Newsman"
"Donald Shepard Hewitt was born in New York on Dec.14, 1922, and grew up in the suburb of New Rochelle","Donald Shepard Hewitt, born, New York"
"Eleanor Louise Greenwich was born in Brooklyn on Oct.23, 1940","Eleanor Louise Greenwich, was born, Brooklyn."
"A little more than a year after Dunne died from bladder cancer, the colorful remnants of his estate have been consigned by hisfamily to Stair Galleries in Hudson, N.Y., which will auction them Nov.20","Dunne, died, Bladder Cancer"
"Charles Gwathmey, an architect known for his influential modernist home designs and famous clients like director Steven Spielberg, has died","Charles Gwathmey, architect"
"Besides his wife, Mandelbrot is survived by two sons, Laurent, of Paris, and Didier, of Newton, Mass, and three grandchildren","Mandelbrot, is survived by two sons, Laurent"
"For years, he worked for IBM in New York","He, work, Ibm"
"After several years spent largely at the Centre National de la Recherche Scientifique in Paris, Mandelbrot was hired by IBM in 1958 to work at the Thomas J.Watson Research Center in Yorktown Heights, N.Y. Although he worked frequently with academicresearchers and served as a visiting professor at Harvard and the Massachusetts Institute of Technology, it was not until 1987 thathe began to teach at Yale, where he earned tenure in 1999","Mandelbrot, was hired by, Ibm"
"It’s an issue for everybody in the state because peanuts are a big part of our economy said Don Koehler, executive director of the Georgia Peanut Commission","The Georgia Peanut Commission, director, Don Koehle"
"We’ll be meeting with scientists, university and science policy officials to explore practical opportunities for exchange andcollaboration,  Agre, the AAAS president, was quoted as saying","The Aaas President, Agre"
"However, Alan Leshner, chief executive officer of the American Association for the Advancement of Science, noted that Nobelsare generally given for work that’s a decade old or more, and that the U.S. mustn’t become complacent","The American Association, chief executive, Alan Leshner"
"First of all, they never have enough funding, said Andy Kunz, president of the U.S. High Speed Rail Association, a nonprofit that advocates a national high - speed rail network","The U.S. High Speed Rail Association, president, Andy Kunz"
"China’s shock at NATO’s military campaign in the former Yugoslavia helped prod Beijing into playing a bigger role in U.N. peacekeeping, said Bates Gill, director of the Stockholm International Peace Research Institute and co - author of a recent reporton China’s peacekeeping activities","The Stockholm International Peace Research Institute, director of, Bates Gill"
"Non - state actors, for example, a small group of pirates off the coast of Somalia, Al Qaida and Taliban who operate acrossborders and have more and more sophisticated means of violence, are becoming bigger and bigger challenges to the internationalsystem, said Bates Gill, director of the Stockholm International Peace Research Institute","The Stockholm International Peace Research Institute, director, Bates Gill"
"It is not surprising that one primarily cosmetic business is trying to throw another under the bus by transferring a tax from richdoctors and their wealthy customers to struggling small businesses, John Overstreet, director of the Indoor Tanning Association, said in a statement Saturday","The Indoor Tanning Association, director of, John Overstreet"
"The chairman of the Swiss Bankers Association, Patrick Odier, told weekly NZZ am Sonntag that Italy and France have showninterest in deals like ones Switzerland signed this week with Germany and Britain","The Swiss Bankers Association, chairman, Patrick Odier"
"The majority of voters in Switzerland, which manages more than 25 percent of the world’s foreign - held private wealth, supportbanking secrecy, according to a survey published last month by the Swiss Bankers Association in Basel","The Swiss Bankers Association, in, Basel"
"Americans have a right to know the truth Islam is a religion of intolerance and violence, said Richard Thompson, legaldirector of the Thomas More Law Center in Ann Arbor","The Thomas More Law Center, in, Ann Arbor"
"New solutions may be enacted for these orphans, though, said Mary Robinson, CEO of the National Council for Adoption","The National Council, CEO, Mary Robinson"
"When you close a country, you end up causing more problems than you prevented, said Chuck Johnson, CEO of the National Council for Adoption","Adoption, Council for, Chuck Johnson"
"This is definitely a Goldilocks problem, said Jason Grumet, president of the Bipartisan Policy Center and an energy adviser to the Obama campaign last year","The Bipartisan Policy Center, president, Jason Grumet"
"Banks are in strong need for the capital markets (to raise funds), Li Fuan, a director at the China Banking Regulatory Commission, was quoted as saying at a forum over the weekend","The China Banking Regulatory Commission, director at, Li Fuan"
"RIA Novosti and Interfax cite Anatoly Isaikin, head of Rosoboronexport, as saying Thursday, nothing is blocking the continuationof military - technical cooperation with Iran","Rosoboronexport, head of, Anatoly Isaikin"
"Rosoboronexport is the only company in Russia that is allowed to export arms, dual use products and military related services","Rosoboronexport, is the only company in, Russia"
"With his wife, Cornelie, Middelhoff invested money in 2000 and 2001 with Esch in funds that were formed to buy five properties from KarstadtQuelle, as Arcandor was then known, and leased back to the department store chain before Middelhoff joined thecompany, according to Middelhoff’s spokesman","Arcandor, Karstadtquelle"
"Arcandor’s mail - order subsidiary Quelle is in worse shape however, Klaus - Hubert Goerg told a press conference in the westerncity of Essen, where Arcandor is based","Arcandor, Essen"
